key,en
"hero.title","Research Analyst"
"hero.getStarted","Get Started"
"hero.previousSlide","Previous slide"
"hero.nextSlide","Next slide"
"footer.copyright","© 2024 Wise Global. All rights reserved."
"footer.selectLanguage","Select Language"
"footer.description","WISE GLOBAL RESEARCH SERVICES PRIVATE LIMITED comprises seasoned and proficient research analysts specializing in the stock and commodity markets."
"footer.quickLinks","Quick Links"
"footer.aboutUs","About Us"
"footer.contact","Contact"
"footer.payment","Payment"
"footer.investorCharter","Investor Charter"
"footer.currentOpenings","Current Openings"
"footer.guideForInvesting","Guide For Investing"
"footer.dailyRecommendation","Daily Recommendation"
"footer.usefulLinks","Useful Links"
"footer.disclaimer","Disclaimer"
"footer.disclosure","Disclosure"
"footer.privacyPolicy","Privacy Policy"
"footer.refundPolicy","Refund Policy"
"footer.complaintBox","Complaint Box"
"footer.complaintData","Complaint Data"
"footer.termsAndConditions","Terms and Conditions"
"footer.registrationDetails","Our Registration Details"
"footer.registeredName","Registered Name"
"footer.principalOfficer","Principal Officer/Compliance Officer"
"footer.gstNo","GST No."
"footer.cinNumber","CIN Number"
"footer.typeOfRegistration","Type of Registration"
"footer.sebiRegistrationNo","SEBI Registration Number"
"footer.bseEnlistmentNo","BSE Enlistment No."
"footer.validity","Validity"
"footer.sebiOfficeDetails","SEBI Office Details"
"footer.tollFree","Toll Free"
"footer.quickContact","Quick Contact"
"footer.registeredOfficeAddress","Registered Office Address"
"footer.selectWebsiteTheme","Select Website Theme"
"footer.paymentNote","<strong>Note:</strong> Dear Client, payments will be accepted only if made to the account details listed on the Wise Global Research website."
"footer.poweredBy","Powered by"
"navbar.home","Home"
"navbar.services.title","Services"
"navbar.services.cash.title","Cash"
"navbar.services.cash.evaluationStockCash","Evaluation Stock Cash"
"navbar.services.cash.smartCash","Smart Cash"
"navbar.services.cash.cash","Cash"
"navbar.services.option.title","Option"
"navbar.services.option.evaluationStockOption","Evaluation Stock Option"
"navbar.services.option.impulseOption","Impulse Option"
"navbar.services.option.smartFuture","Smart Future"
"navbar.services.option.smartOptions","Smart Options"
"navbar.services.specialization.title","Specialization"
"navbar.services.specialization.infinityClub","Infinity Club"
"navbar.services.specialization.mcxSupreme","MCX Supreme"
"navbar.services.specialization.galaxyMCX","Galaxy MCX"
"navbar.services.specialization.universalCash","Universal Cash"
"navbar.services.index.title","Index"
"navbar.services.index.evaluationIndexOptions","Evaluation Index Options"
"navbar.services.index.impulseIndexOptions","Impulse Index Options"
"navbar.services.index.smartIndexOption","SmartIndexOption"
"navbar.services.index.index","Index"
"navbar.services.mcx.title","Navbar Services Mcx Title"
"navbar.services.mcx.mcx","Navbar Services Mcx Mcx"
"navbar.services.mcx.bullions","Bullions"
"navbar.services.mcx.energy","Energy"
"navbar.services.mcx.metal","Metal"
"navbar.services.mcx.mcxOption","MCX Option"
"navbar.company.title","Company"
"navbar.company.aboutUs","About Us"
"navbar.company.ourTeam","Our Team"
"navbar.company.visionMission","Vision & Mission"
"navbar.hrZone.title","HR Zone"
"navbar.hrZone.career","Career"
"navbar.hrZone.training","Training"
"navbar.insights.title","Insights"
"navbar.insights.blogs","Blogs"
"navbar.insights.marketNews","Market News"
"navbar.insights.complaintData","Complaint Data"
"navbar.insights.grievanceRedressalProcess","Grievance Redressal Process"
"navbar.dashboard.title","Dashboard"
"navbar.dashboard.adminPanel","Admin Panel"
"navbar.dashboard.clientPanel","Client Panel"
"navbar.dashboard.clientServiceConsent","Client Service Consent"
"navbar.dashboard.investorChart","Investor Chart"
"navbar.dashboard.antiMoneyLaundering","Anti-Money Laundering"
"navbar.payment","Payment"
"navbar.complaintBox","Complaint Box"
"navbar.contactUs","Contact Us"
"navbar.researchReports","Research Reports"
"login.title","Admin Login"
"login.email_placeholder","Enter Email"
"login.email_label","Email address"
"login.password_placeholder","Enter Password"
"login.password_label","Password"
"login.submit_label","Submit login form"
"login.logging_in","Logging in..."
"login.login_button","Login"
"login.email_required","Email is required"
"login.email_invalid","Please enter a valid email address"
"login.password_required","Password is required"
"login.password_length","Password must be at least 6 characters long"
"login.password_uppercase","Password must contain at least one uppercase letter"
"login.password_lowercase","Password must contain at least one lowercase letter"
"login.password_number","Password must contain at least one number"
"login.password_special","Password must contain at least one special character"
"login.success","Login successful!"
"login.failed","Login failed. Please try again."
"login.user_not_found","No user found with this email."
"login.incorrect_password","Incorrect password."
"login.too_many_attempts","Too many attempts. Please try again later."
"testimonials.0.name","Rahul Sharma"
"testimonials.0.role","Investor (5+ years)"
"testimonials.0.quote","The research quality is exceptional. Helped me grow my portfolio last year."
"testimonials.1.name","Priya Patel"
"testimonials.1.role","Trader (3+ years)"
"testimonials.1.quote","Accurate technical calls and excellent risk management suggestions."
"testimonials.2.name","Amit Kumar"
"testimonials.2.role","Business Owner"
"testimonials.2.quote","Their SEBI registration gives me confidence in their recommendations."
"testimonials.title","What Our Clients Say"
"home.helmet.title","Wise Global Research Services"
"home.helmet.description","Market research, analytics, and data-driven insights for Indian traders and investors."
"home.helmet.ogDescription","Wise Global Research Services - Empowering Indian traders and investors with actionable insights."
"home.helmet.twitterDescription","Wise Global Research Services - Market research and analytics for Indian traders."
"home.alertBar.hi","कृपया ध्यान दें – प्रिय ग्राहक, आपके भुगतान स्वीकार किए जाएंगे अगर आप Wise Global Research वेबसाइट पर दी गई खाता जानकारी का उपयोग करेंगे। हम केवल Wise Global Research के अलावा किसी अन्य खातों में कोई भुगतान स्वीकार नहीं करते।"
"home.alertBar.en","Note: Dear Client, payments will be accepted only if made to the account details listed on the Wise Global Research website."
"home.heroSection.title","Research Analyst"
"home.heroSection.getStarted","Get Started"
"home.heroSection.previousSlide","Previous Slide"
"home.heroSection.nextSlide","Next Slide"
"home.whyChooseUs.heading","Why Choose Us"
"home.whyChooseUs.reasons","[object Object],[object Object],[object Object]"
"home.marketOverview.heading","Live Market Overview"
"home.teamSection.heading","Meet Our Expert Team"
"home.teamSection.members","[object Object],[object Object],[object Object],[object Object]"
"home.methodologySection.heading","Steps We Follow During Work"
